order_id,customer_id,order_date,status,hour,day_of_week,month,product_id,quantity,price_x,total_price,customer_name,city,province,latitude,longitude,join_date,product_name,category,price_y
ORD_00001,CUST_0303,2023-05-04 20:28:00,Delivered,20,Thursday,5,PROD_002,1,157542,157542,Customer_303,Semarang,Jawa Tengah,-7.042472825779879,110.41175575360654,2023-06-21,Kecantikan_Item_2,Kecantikan,157542
ORD_00001,CUST_0303,2023-05-04 20:28:00,Delivered,20,Thursday,5,PROD_093,1,141160,141160,Customer_303,Semarang,Jawa Tengah,-7.042472825779879,110.41175575360654,2023-06-21,Rumah Tangga_Item_93,Rumah Tangga,141160
ORD_00001,CUST_0303,2023-05-04 20:28:00,Delivered,20,Thursday,5,PROD_019,1,187323,187323,Customer_303,Semarang,Jawa Tengah,-7.042472825779879,110.41175575360654,2023-06-21,Rumah Tangga_Item_19,Rumah Tangga,187323
ORD_00002,CUST_0497,2023-05-20 18:41:00,Delivered,18,Saturday,5,PROD_087,2,142011,284022,Customer_497,Makassar,Sulawesi Selatan,-5.193270972554008,119.4507461333738,2023-12-10,Kesehatan_Item_87,Kesehatan,142011
ORD_00003,CUST_0163,2023-09-25 14:34:00,Delivered,14,Monday,9,PROD_081,1,201542,201542,Customer_163,Malang,Jawa Timur,-7.875626943867361,112.68017938333917,2023-10-17,Kecantikan_Item_81,Kecantikan,201542
ORD_00004,CUST_0015,2023-10-14 22:48:00,Delivered,22,Saturday,10,PROD_057,1,82539,82539,Customer_15,Jakarta,DKI Jakarta,-6.190317086227592,106.754890082544,2023-03-23,Makanan_Item_57,Makanan,82539
ORD_00004,CUST_0015,2023-10-14 22:48:00,Delivered,22,Saturday,10,PROD_022,3,75681,227043,Customer_15,Jakarta,DKI Jakarta,-6.190317086227592,106.754890082544,2023-03-23,Mainan_Item_22,Mainan,75681
ORD_00005,CUST_0004,2023-05-12 13:15:00,Delivered,13,Friday,5,PROD_024,1,195658,195658,Customer_4,Surabaya,Jawa Timur,-7.345883277566361,112.825335229155,2023-12-13,Kesehatan_Item_24,Kesehatan,195658
ORD_00006,CUST_0025,2023-09-08 14:37:00,Delivered,14,Friday,9,PROD_033,1,253503,253503,Customer_25,Palembang,Sumatera Selatan,-2.966757944131344,104.71237089110512,2023-02-10,Otomotif_Item_33,Otomotif,253503
ORD_00007,CUST_0461,2023-11-10 18:10:00,Delivered,18,Friday,11,PROD_076,3,91332,273996,Customer_461,Semarang,Jawa Tengah,-6.892906404820417,110.4170862396499,2023-01-17,Mainan_Item_76,Mainan,91332
ORD_00007,CUST_0461,2023-11-10 18:10:00,Delivered,18,Friday,11,PROD_039,1,71764,71764,Customer_461,Semarang,Jawa Tengah,-6.892906404820417,110.4170862396499,2023-01-17,Kecantikan_Item_39,Kecantikan,71764
ORD_00007,CUST_0461,2023-11-10 18:10:00,Delivered,18,Friday,11,PROD_082,1,76093,76093,Customer_461,Semarang,Jawa Tengah,-6.892906404820417,110.4170862396499,2023-01-17,Kecantikan_Item_82,Kecantikan,76093
ORD_00008,CUST_0197,2023-11-04 10:36:00,Delivered,10,Saturday,11,PROD_090,1,84750,84750,Customer_197,Semarang,Jawa Tengah,-6.992196382841443,110.4748825921484,2023-03-24,Kesehatan_Item_90,Kesehatan,84750
ORD_00009,CUST_0338,2023-06-01 16:43:00,Delivered,16,Thursday,6,PROD_078,2,121557,243114,Customer_338,Makassar,Sulawesi Selatan,-5.165620634602068,119.52917572338173,2023-06-22,Mainan_Item_78,Mainan,121557
ORD_00009,CUST_0338,2023-06-01 16:43:00,Delivered,16,Thursday,6,PROD_096,3,57359,172077,Customer_338,Makassar,Sulawesi Selatan,-5.165620634602068,119.52917572338173,2023-06-22,Buku_Item_96,Buku,57359
ORD_00009,CUST_0338,2023-06-01 16:43:00,Delivered,16,Thursday,6,PROD_064,2,225330,450660,Customer_338,Makassar,Sulawesi Selatan,-5.165620634602068,119.52917572338173,2023-06-22,Olahraga_Item_64,Olahraga,225330
