order_id,customer_id,order_date,status,hour,day_of_week,month
ORD_00001,CUST_0303,2023-05-04 20:28:00,Delivered,20,Thursday,5
ORD_00002,CUST_0497,2023-05-20 18:41:00,Delivered,18,Saturday,5
ORD_00003,CUST_0163,2023-09-25 14:34:00,Delivered,14,Monday,9
ORD_00004,CUST_0015,2023-10-14 22:48:00,Delivered,22,Saturday,10
ORD_00005,CUST_0004,2023-05-12 13:15:00,Delivered,13,Friday,5
ORD_00006,CUST_0025,2023-09-08 14:37:00,Delivered,14,Friday,9
ORD_00007,CUST_0461,2023-11-10 18:10:00,Delivered,18,Friday,11
ORD_00008,CUST_0197,2023-11-04 10:36:00,Delivered,10,Saturday,11
ORD_00009,CUST_0338,2023-06-01 16:43:00,Delivered,16,Thursday,6
ORD_00010,CUST_0023,2023-04-07 17:43:00,Delivered,17,Friday,4
ORD_00011,CUST_0159,2023-11-02 16:46:00,Delivered,16,Thursday,11
ORD_00012,CUST_0272,2023-08-09 19:16:00,Shipped,19,Wednesday,8
ORD_00013,CUST_0116,2023-11-24 18:25:00,Processing,18,Friday,11
ORD_00014,CUST_0233,2023-06-24 17:37:00,Delivered,17,Saturday,6
ORD_00015,CUST_0483,2023-08-20 09:04:00,Delivered,9,Sunday,8
ORD_00016,CUST_0072,2023-01-02 11:31:00,Delivered,11,Monday,1
ORD_00017,CUST_0344,2023-12-23 21:26:00,Delivered,21,Saturday,12
ORD_00018,CUST_0488,2023-05-23 12:28:00,Delivered,12,Tuesday,5
ORD_00019,CUST_0279,2023-12-21 12:25:00,Delivered,12,Thursday,12
ORD_00020,CUST_0022,2023-04-05 19:13:00,Delivered,19,Wednesday,4
ORD_00021,CUST_0076,2023-11-20 00:54:00,Cancelled,0,Monday,11
ORD_00022,CUST_0404,2023-04-11 02:16:00,Delivered,2,Tuesday,4
ORD_00023,CUST_0263,2023-09-15 14:39:00,Delivered,14,Friday,9
ORD_00024,CUST_0031,2023-11-14 18:31:00,Delivered,18,Tuesday,11
ORD_00025,CUST_0009,2023-05-21 16:45:00,Delivered,16,Sunday,5
ORD_00026,CUST_0042,2023-09-25 16:55:00,Delivered,16,Monday,9
ORD_00027,CUST_0205,2023-06-04 11:20:00,Delivered,11,Sunday,6
ORD_00028,CUST_0047,2023-11-03 13:47:00,Delivered,13,Friday,11
ORD_00029,CUST_0063,2023-06-28 17:48:00,Delivered,17,Wednesday,6
